label,kind,count,cmc_mean,cmc_median,cmc_p25,cmc_p75,cmc_std,cheap_frac_<=2,heavy_frac_>=6,instant_frac,sorcery_frac,creature_frac,permanent_frac,persistence_mean,persistence_median,edhrec_median,edhrec_p25,edhrec_p75,is_land_frac,is_land_count,is_ramp_frac,is_ramp_count,is_card_draw_frac,is_card_draw_count,is_board_wipe_frac,is_board_wipe_count,is_removal_frac,is_removal_count,is_game_changer_frac,is_game_changer_count,is_mass_land_denial_frac,is_mass_land_denial_count,is_extra_turn_frac,is_extra_turn_count,is_nonland_tutor_frac,is_nonland_tutor_count,is_permanent_card_frac,is_permanent_card_count,has_persistent_output_frac,has_persistent_output_count,cmc_mean_z_global
mana_dork,role,331,3.066465256797583,3.0,2.0,4.0,1.4651415533836722,0.4229607250755287,0.06948640483383686,0.0,0.0,1.0,1.0,1.2235649546827794,1.0,10052.0,4752.0,16330.0,0.0030211480362537764,1,0.879154078549849,291,0.0755287009063444,25,0.0,0,0.006042296072507553,2,0.0,0,0.0,0,0.0,0,0.00906344410876133,3,1.0,331,0.22356495468277945,74,-0.20382211500920158
mana_rock,role,253,2.7233201581027666,3.0,2.0,3.0,1.325684864494342,0.36363636363636365,0.02766798418972332,0.0,0.0,0.1422924901185771,1.0,1.0434782608695652,1.0,8645.0,1993.0,15665.0,0.07509881422924901,19,0.932806324110672,236,0.2015810276679842,51,0.0,0,0.011857707509881422,3,0.0,0,0.0,0,0.0,0,0.003952569169960474,1,1.0,253,0.043478260869565216,11,-0.40950801556765587
planeswalker,role,300,4.433333333333334,4.0,4.0,5.0,1.2957194483717873,0.043333333333333335,0.23,0.0,0.0,0.043333333333333335,1.0,1.54,2.0,7349.0,4400.5,12061.0,0.0,0,0.04,12,0.24666666666666667,74,0.013333333333333334,4,0.15333333333333332,46,0.0,0,0.0033333333333333335,1,0.01,3,0.08,24,1.0,300,0.54,162,0.6154974449560153
sac_outlet_creature,role,503,3.341948310139165,3.0,2.0,4.0,1.5897190135554675,0.31809145129224653,0.09145129224652088,0.07554671968190854,0.1073558648111332,0.6381709741550696,0.8170974155069582,0.9324055666003976,1.0,14230.0,7048.5,20790.0,0.015904572564612324,8,0.09940357852882704,50,0.14314115308151093,72,0.005964214711729622,3,0.08946322067594434,45,0.0,0,0.0,0,0.0,0,0.039761431411530816,20,0.8011928429423459,403,0.1312127236580517,66,-0.03869377679111625
sac_outlet_permanent,role,287,3.2125435540069684,3.0,2.0,4.0,1.887086912321097,0.37630662020905925,0.08362369337979095,0.14285714285714285,0.10104529616724739,0.5749128919860628,0.7560975609756098,0.8850174216027874,1.0,14602.0,7519.0,21672.0,0.017421602787456445,5,0.1254355400696864,36,0.18815331010452963,54,0.0,0,0.07317073170731707,21,0.0,0,0.0,0,0.0,0,0.0627177700348432,18,0.7386759581881533,212,0.14634146341463414,42,-0.11626077076199665
self_mill,role,154,2.655844155844156,2.0,2.0,3.0,1.2962476822099538,0.5064935064935064,0.032467532467532464,0.07792207792207792,0.09090909090909091,0.6103896103896104,0.8311688311688312,0.9025974025974026,1.0,13403.0,6630.5,18038.5,0.01948051948051948,3,0.1038961038961039,16,0.08441558441558442,13,0.0,0,0.025974025974025976,4,0.0,0,0.0,0,0.0,0,0.0,0,0.8116883116883117,125,0.09090909090909091,14,-0.4499540611135085
sorcery,role,3332,3.6476590636254502,3.0,2.0,5.0,1.8687703024144402,0.3022208883553421,0.1563625450180072,0.008403361344537815,1.0,0.021308523409363747,0.0,0.1716686674669868,0.0,14125.5,7767.25,21244.0,0.006002400960384154,20,0.014105642256902761,47,0.1014405762304922,338,0.03751500600240096,125,0.10234093637454982,341,0.0,0,0.0024009603841536613,8,0.006002400960384154,20,0.04921968787515006,164,0.0234093637454982,78,0.1482593037214886,494,0.14455346141919617
spell,role,6876,3.160994764397906,3.0,2.0,4.0,1.7299831193803097,0.4134671320535195,0.09816753926701571,0.5194880744618965,0.48458406050029085,0.018470040721349622,0.0,0.13845258871436883,0.0,14851.0,7928.75,21551.25,0.005817335660267597,40,0.012652705061082025,87,0.12521815008726003,861,0.02065154159394997,142,0.16972076788830714,1167,0.0,0,0.0014543339150668994,10,0.0036358347876672484,25,0.030541012216404886,210,0.020215241419429902,139,0.11823734729493891,813,-0.14715982557515658
spell_copy,role,89,3.50561797752809,3.0,2.0,4.0,1.4151951904569697,0.2808988764044944,0.06741573033707865,0.2247191011235955,0.02247191011235955,0.47191011235955055,0.7528089887640449,0.797752808988764,1.0,7855.0,3988.0,13033.0,0.02247191011235955,2,0.15730337078651685,14,0.07865168539325842,7,0.0,0,0.011235955056179775,1,0.0,0,0.0,0,0.0,0,0.0,0,0.7303370786516854,65,0.06741573033707865,6,0.05941207714367656
spell_discount,role,132,3.1666666666666665,3.0,2.0,4.0,1.3437096247164249,0.3484848484848485,0.07575757575757576,0.0,0.0,0.696969696969697,1.0,1.121212121212121,1.0,5024.0,2194.5,10040.25,0.007575757575757576,1,0.030303030303030304,4,0.06818181818181818,9,0.0,0,0.015151515151515152,2,0.0,0,0.0,0,0.0,0,0.015151515151515152,2,0.9924242424242424,131,0.12878787878787878,17,-0.14376000919874046
